,street,latitude,longitude,plz
2417,Schanzenstrasse 6,47.56414090000001,7.583339599999999,4056
2418,Hauensteinstrasse 88,47.53419179999999,7.593099499999999,4059
2419,Flughafenstrasse 44,47.5680321,7.5707523,4056
2420,Leimenstrasse 54,47.5530002,7.581237000000001,4051
2421,Riehenstrasse 90,47.56311789999999,7.602659099999999,4058
2422,Austrasse 76,47.5545124,7.580231299999999,4051
2423,"Clarastrasse 32, 34",47.5626103,7.5973608,4058
2424,Aeschengraben 12,47.55093369999999,7.593551300000001,4051
2425,Käferholzstrasse 132,47.5648002,7.619949999999999,4058
2426,Feldbergstrasse 31,47.56624619999999,7.589816799999999,4057
2427,Eisengasse 9,47.55926789999999,7.588322399999999,4051
2428,C.F.Meyer-Strasse 21,47.5312034,7.5922009,4059
2429,Oberalpstrasse 15,47.5481182,7.564260399999999,4054
2430,Lukas Legrand-Strasse 21,47.5687177,7.616494899999999,4058
2431,Sulzerstrasse 13,47.5541442,7.5721263,4054
2432,Auberg 8,47.5526,7.5848494,4051
2433,Fürstensteinerstrasse 105,47.5368374,7.602536499999999,4053
2434,Sternenbergerstrasse 5,47.5381205,7.5983452,4053
2435,Weissensteinstrasse 3,47.5361396,7.5932378,4059
2436,Offenburgerstrasse 59,47.5694019,7.590000099999999,4057
2437,Marignanostrasse 106,47.5321764,7.583837399999999,4059
2438,Bergalingerstrasse 44,47.5608842,7.6104714,4058
2439,Thumringerstrasse 10,47.5673401,7.6175401,4058
2440,Gundeldingerstrasse 374,47.53872459999999,7.597136700000001,4053
2441,"Dornacherstrasse 240, 246",47.54083050000001,7.596146799999999,4053
2442,Käferholzstrasse 115,47.56542109999999,7.6197262,4058
2443,Steinengraben 71,47.5528403,7.5868694,4051
2444,Leimenstrasse 27,47.5542123,7.582940799999999,4051
2445,Sängergasse 26,47.5553057,7.570999899999999,4054
2446,Passwangstrasse 47,47.53498769999999,7.5937524,4059
2447,Thiersteinerrain 59,47.5370594,7.5976443,4059
2448,Stöberstrasse 23,47.5587354,7.571951599999999,4055
2449,Stöberstrasse 21,47.5587761,7.572005,4055
2450,Bruderholzallee 40,47.5341154,7.586751099999999,4059
2451,Paradieshofstrasse 170,47.5462715,7.558517699999999,4054
2452,Jacob Burckhardt-Strasse 19,47.5481084,7.6012826,4052
2453,"Mathilde Paravicini- Strasse 5, 7, 9, 11",47.5485812,7.603993999999999,4052
2454,Jacob Burckhardt-Strasse 17,47.5481623,7.601296,4052
2455,Bruderholzallee 23,47.5349677,7.587872499999999,4059
2456,Hohe Winde-Strasse 52,47.5335469,7.5881797,4059
2457,Unterer Batterieweg 35,47.5399789,7.5871392,4053
2458,Schanzenstrasse 10,47.5639882,7.5831399,4056
2459,Schanzenstrasse 8,47.5640601,7.583233099999999,4056
2460,Binningerstrasse 14,47.5497475,7.584347099999999,4051
2461,Benkenstrasse 38,47.5484808,7.5727785,4054
2462,Laufenstrasse 15,47.54202160000001,7.5997897,4053
2463,Spalenberg 50,47.5568845,7.5850955,4051
2464,Käferholzstrasse 41,47.5669712,7.617631899999999,4058
2465,Bärenfelserstrasse 3,47.5663117,7.587797099999999,4057
2466,Giornicostrasse 236,47.5268223,7.591143699999999,4059
2467,Isteinerstrasse 94A,47.5673211,7.599759799999999,4058
2468,Gundeldingerrain 160,47.5329821,7.5945743,4059
2469,Sulzerstrasse 19,47.5538385,7.571912399999999,4054
2470,Röttelerstrasse 3,47.569059,7.6168283,4058
2471,"Lautengartenstrasse 11, 13, 15",47.55313570000001,7.5962375,4052
2472,Blochmonterstrasse 5,47.5471257,7.575044399999999,4054
2473,"Gundeldingerstrasse 365, 367",47.5391748,7.5967662,4053
